ResponseId,Q8,Lecture,Midterm I (1793978),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Midterm I +3,Q4,Q5,Midterm I +3,z-score,,,,,,,,,,,,,,,,,,,,,Member 3,,,,,,
R_51dsv3IZGRmN2Y4,In-person before or after class,2,12.5,0,0,,,0,0,0,0,,,0,0,15.5,I am looking for a classmate to tutor me in BIOC 202,,31,-2.774647887,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7puGESdHkbBbgUK,In-person before or after class,2,15,0,0,,,0,0,0,0,,,0,0,18,I am looking for a classmate to tutor me in BIOC 202,,36,-2.422535211,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1GHchmMvcTHXR1x,In-person before or after class,2,20,0,0,,,0,0,0,0,,,0,0,23,I am looking for a classmate to tutor me in BIOC 202,,46,-1.718309859,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5U0cINiFFSgezlC,In-person before or after class,2,20,0,0,,,0,0,0,0,,,0,0,23,I am looking for a classmate to tutor me in BIOC 202,,46,-1.718309859,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3IRYyhH8NcRjCuJ,In-person before or after class,2,24,0,0,,,0,0,0,0,,,0,0,27,I am looking for a classmate to tutor me in BIOC 202,,54,-1.154929577,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6rBIubpLtknG94L,In-person before or after class,2,24,0,0,,,0,0,0,0,,,0,0,27,I am looking for a classmate to tutor me in BIOC 202,,54,-1.154929577,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7qftVmASWV6EaJc,In-person before or after class,2,24,0,0,,,0,0,0,0,,,0,0,27,I am looking for a classmate to tutor me in BIOC 202,,54,-1.154929577,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1uWzVlZIGErnji7,In-person before or after class,2,24.5,0,0,,,0,0,0,0,,,0,0,27.5,I am looking for a classmate to tutor me in BIOC 202,,55,-1.084507042,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_333G3d2q9BtXgfF,In-person before or after class,2,25.5,0,0,,,0,0,0,0,,,0,0,28.5,I am looking for a classmate to tutor me in BIOC 202,,57,-0.943661972,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6U79Xjabmp4skkp,In-person before or after class,2,26,0,0,,,0,0,0,0,,,0,0,29,I am looking for a classmate to tutor me in BIOC 202,,58,-0.873239437,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6SbyBzDjvAr0gjT,In-person before or after class,2,26.5,0,0,,,0,0,0,0,,,0,0,29.5,I am looking for a classmate to tutor me in BIOC 202,,59,-0.802816901,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pQASoXAa1Jmopo,In-person before or after class,2,27,0,0,,,0,0,0,0,,,0,0,30,I am looking for a classmate to tutor me in BIOC 202,,60,-0.732394366,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3dch2zp6OAen8xX,In-person before or after class,2,27.5,0,0,,,0,0,0,0,,,0,0,30.5,I am looking for a classmate to tutor me in BIOC 202,,61,-0.661971831,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_117HAhICGNHq5NT,In-person before or after class,2,27.5,0,0,,,0,0,0,0,,,0,0,30.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,2 to 3,61,-0.661971831,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3oTmVmZtGTpmjwr,In-person before or after class,2,28.5,0,0,,,0,0,0,0,,,0,0,31.5,I am open to being a peer tutor or having a classmate tutor me in BIOC 202. I am uncertain if I should sign up as a tutor or tutee,1,63,-0.521126761,,,,,,,,,,,,,,,,,,,,,,,,,,,
